Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,,,,2019-07-25 11:08:53,2019-07-25 11:09:09,15.146s,INCOMPLETE
,,,,,,,
Test Cases/audi,,,,2019-07-25 11:08:54,2019-07-25 11:08:58,4.201s,FAILED
"openBrowser("""")",,,,2019-07-25 11:08:54,2019-07-25 11:08:58,3.664s,FAILED
,,,,,,,
Test Cases/baldaja,,,,2019-07-25 11:08:58,2019-07-25 11:08:59,0.841s,FAILED
"openBrowser("""")",,,,2019-07-25 11:08:58,2019-07-25 11:08:59,0.561s,FAILED
,,,,,,,
Test Cases/barmer,,,,2019-07-25 11:08:59,2019-07-25 11:09:00,0.933s,FAILED
"openBrowser("""")",,,,2019-07-25 11:08:59,2019-07-25 11:09:00,0.566s,FAILED
,,,,,,,
Test Cases/bearingpoint,,,,2019-07-25 11:09:00,2019-07-25 11:09:00,0.780s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:00,2019-07-25 11:09:00,0.545s,FAILED
,,,,,,,
Test Cases/commerzbank,,,,2019-07-25 11:09:00,2019-07-25 11:09:01,0.816s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:01,2019-07-25 11:09:01,0.560s,FAILED
,,,,,,,
Test Cases/covestro,,,,2019-07-25 11:09:01,2019-07-25 11:09:02,0.798s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:02,2019-07-25 11:09:02,0.550s,FAILED
,,,,,,,
Test Cases/freshfields,,,,2019-07-25 11:09:02,2019-07-25 11:09:03,0.823s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:02,2019-07-25 11:09:03,0.552s,FAILED
,,,,,,,
Test Cases/goomo,,,,2019-07-25 11:09:03,2019-07-25 11:09:04,0.819s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:03,2019-07-25 11:09:04,0.560s,FAILED
,,,,,,,
Test Cases/ibe,,,,2019-07-25 11:09:04,2019-07-25 11:09:05,0.807s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:04,2019-07-25 11:09:05,0.550s,FAILED
,,,,,,,
Test Cases/microfuzzy,,,,2019-07-25 11:09:05,2019-07-25 11:09:05,0.790s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:05,2019-07-25 11:09:05,0.549s,FAILED
,,,,,,,
Test Cases/roche,,,,2019-07-25 11:09:05,2019-07-25 11:09:06,0.776s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:06,2019-07-25 11:09:06,0.552s,FAILED
,,,,,,,
Test Cases/roomit,,,,2019-07-25 11:09:06,2019-07-25 11:09:07,0.794s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:06,2019-07-25 11:09:07,0.550s,FAILED
,,,,,,,
Test Cases/tmdfriction,,,,2019-07-25 11:09:07,2019-07-25 11:09:08,0.828s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:07,2019-07-25 11:09:08,0.550s,FAILED
,,,,,,,
Test Cases/zeb,,,,2019-07-25 11:09:08,2019-07-25 11:09:09,0.792s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:08,2019-07-25 11:09:09,0.567s,FAILED
