Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,Chrome 75.0.3770.142,,,2019-07-25 10:53:36,2019-07-25 11:00:40,7m - 4.187s,INCOMPLETE
,,,,,,,
Test Cases/audi,Chrome 75.0.3770.142,,,2019-07-25 10:53:36,2019-07-25 10:54:11,35.003s,FAILED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:53:37,2019-07-25 10:53:42,4.905s,PASSED
"navigateToUrl(""https://audi.acomodeo.com/en/"")",Chrome 75.0.3770.142,,,2019-07-25 10:53:42,2019-07-25 10:53:44,2.493s,PASSED
delay(11),Chrome 75.0.3770.142,,,2019-07-25 10:53:44,2019-07-25 10:53:55,11.027s,PASSED
"setText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_email""), username)",Chrome 75.0.3770.142,,,2019-07-25 10:53:55,2019-07-25 10:53:55,0.400s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-25 10:53:55,2019-07-25 10:53:58,3.003s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_password""), password)",Chrome 75.0.3770.142,,,2019-07-25 10:53:58,2019-07-25 10:53:59,0.489s,PASSED
"click(findTestObject(""Object Repository/Page_Account Login IBE/button_Log in""))",Chrome 75.0.3770.142,,,2019-07-25 10:53:59,2019-07-25 10:54:04,5.124s,PASSED
delay(6),Chrome 75.0.3770.142,,,2019-07-25 10:54:04,2019-07-25 10:54:10,6.004s,PASSED
"click(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/button_Profile""))",Chrome 75.0.3770.142,,,2019-07-25 10:54:10,2019-07-25 10:54:11,0.889s,FAILED
,,,,,,,
Test Cases/baldaja,Chrome 75.0.3770.142,,,2019-07-25 10:54:11,2019-07-25 10:54:41,30.020s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:54:11,2019-07-25 10:54:15,3.432s,PASSED
"navigateToUrl(""https://baldaja.acomodeo.com"")",Chrome 75.0.3770.142,,,2019-07-25 10:54:15,2019-07-25 10:54:17,2.158s,PASSED
delay(11),Chrome 75.0.3770.142,,,2019-07-25 10:54:17,2019-07-25 10:54:28,11.004s,PASSED
"setText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_email""), username)",Chrome 75.0.3770.142,,,2019-07-25 10:54:28,2019-07-25 10:54:29,0.618s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-25 10:54:29,2019-07-25 10:54:32,3.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_password""), password)",Chrome 75.0.3770.142,,,2019-07-25 10:54:32,2019-07-25 10:54:32,0.346s,PASSED
"click(findTestObject(""Object Repository/Page_Account Login IBE/button_Log in""))",Chrome 75.0.3770.142,,,2019-07-25 10:54:32,2019-07-25 10:54:32,0.129s,PASSED
delay(6),Chrome 75.0.3770.142,,,2019-07-25 10:54:32,2019-07-25 10:54:38,6.003s,PASSED
"click(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/button_Profile""))",Chrome 75.0.3770.142,,,2019-07-25 10:54:38,2019-07-25 10:54:38,0.136s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-25 10:54:38,2019-07-25 10:54:40,2.002s,PASSED
"hello = getText(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/h4_Hello Katalon Acomodeo""))",Chrome 75.0.3770.142,,,2019-07-25 10:54:40,2019-07-25 10:54:40,0.066s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 75.0.3770.142,,,2019-07-25 10:54:40,2019-07-25 10:54:40,0.010s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-25 10:54:40,2019-07-25 10:54:41,0.772s,PASSED
,,,,,,,
Test Cases/barmer,Chrome 75.0.3770.142,,,2019-07-25 10:54:41,2019-07-25 10:55:11,29.652s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:54:41,2019-07-25 10:54:44,2.550s,PASSED
"navigateToUrl(""https://barmer.acomodeo.com"")",Chrome 75.0.3770.142,,,2019-07-25 10:54:44,2019-07-25 10:54:47,2.984s,PASSED
delay(11),Chrome 75.0.3770.142,,,2019-07-25 10:54:47,2019-07-25 10:54:58,11.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_email""), username)",Chrome 75.0.3770.142,,,2019-07-25 10:54:58,2019-07-25 10:54:58,0.323s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-25 10:54:58,2019-07-25 10:55:01,3.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_password""), password)",Chrome 75.0.3770.142,,,2019-07-25 10:55:01,2019-07-25 10:55:02,0.343s,PASSED
"click(findTestObject(""Object Repository/Page_Account Login IBE/button_Log in""))",Chrome 75.0.3770.142,,,2019-07-25 10:55:02,2019-07-25 10:55:02,0.113s,PASSED
delay(6),Chrome 75.0.3770.142,,,2019-07-25 10:55:02,2019-07-25 10:55:08,6.002s,PASSED
"click(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/button_Profile""))",Chrome 75.0.3770.142,,,2019-07-25 10:55:08,2019-07-25 10:55:08,0.130s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-25 10:55:08,2019-07-25 10:55:10,2.003s,PASSED
"hello = getText(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/h4_Hello Katalon Acomodeo""))",Chrome 75.0.3770.142,,,2019-07-25 10:55:10,2019-07-25 10:55:10,0.055s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 75.0.3770.142,,,2019-07-25 10:55:10,2019-07-25 10:55:10,0.002s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-25 10:55:10,2019-07-25 10:55:11,0.766s,PASSED
,,,,,,,
Test Cases/bearingpoing,Chrome 75.0.3770.142,,,2019-07-25 10:55:11,2019-07-25 10:55:40,29.132s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:55:11,2019-07-25 10:55:13,2.486s,PASSED
"navigateToUrl(""https://bearingpoint.acomodeo.com"")",Chrome 75.0.3770.142,,,2019-07-25 10:55:13,2019-07-25 10:55:16,2.222s,PASSED
delay(11),Chrome 75.0.3770.142,,,2019-07-25 10:55:16,2019-07-25 10:55:27,11.001s,PASSED
"setText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_email""), username)",Chrome 75.0.3770.142,,,2019-07-25 10:55:27,2019-07-25 10:55:27,0.369s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-25 10:55:27,2019-07-25 10:55:30,3.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_password""), password)",Chrome 75.0.3770.142,,,2019-07-25 10:55:30,2019-07-25 10:55:30,0.461s,PASSED
"click(findTestObject(""Object Repository/Page_Account Login IBE/button_Log in""))",Chrome 75.0.3770.142,,,2019-07-25 10:55:30,2019-07-25 10:55:31,0.151s,PASSED
delay(6),Chrome 75.0.3770.142,,,2019-07-25 10:55:31,2019-07-25 10:55:37,6.003s,PASSED
"click(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/button_Profile""))",Chrome 75.0.3770.142,,,2019-07-25 10:55:37,2019-07-25 10:55:37,0.125s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-25 10:55:37,2019-07-25 10:55:39,2.004s,PASSED
"hello = getText(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/h4_Hello Katalon Acomodeo""))",Chrome 75.0.3770.142,,,2019-07-25 10:55:39,2019-07-25 10:55:39,0.080s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 75.0.3770.142,,,2019-07-25 10:55:39,2019-07-25 10:55:39,0.003s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-25 10:55:39,2019-07-25 10:55:40,0.955s,PASSED
,,,,,,,
Test Cases/commerbank,Chrome 75.0.3770.142,,,2019-07-25 10:55:40,2019-07-25 10:56:10,29.982s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:55:40,2019-07-25 10:55:43,2.615s,PASSED
"navigateToUrl(""https://commerzbank.acomodeo.com"")",Chrome 75.0.3770.142,,,2019-07-25 10:55:43,2019-07-25 10:55:46,3.112s,PASSED
delay(11),Chrome 75.0.3770.142,,,2019-07-25 10:55:46,2019-07-25 10:55:57,11.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_email""), username)",Chrome 75.0.3770.142,,,2019-07-25 10:55:57,2019-07-25 10:55:57,0.317s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-25 10:55:57,2019-07-25 10:56:00,3.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_password""), password)",Chrome 75.0.3770.142,,,2019-07-25 10:56:00,2019-07-25 10:56:01,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_Account Login IBE/button_Log in""))",Chrome 75.0.3770.142,,,2019-07-25 10:56:01,2019-07-25 10:56:01,0.123s,PASSED
delay(6),Chrome 75.0.3770.142,,,2019-07-25 10:56:01,2019-07-25 10:56:07,6.003s,PASSED
"click(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/button_Profile""))",Chrome 75.0.3770.142,,,2019-07-25 10:56:07,2019-07-25 10:56:07,0.128s,PASSED
delay(2),Chrome 75.0.3770.142,,,2019-07-25 10:56:07,2019-07-25 10:56:09,2.002s,PASSED
"hello = getText(findTestObject(""Object Repository/Page_Booking engine for serviced apartments/h4_Hello Katalon Acomodeo""))",Chrome 75.0.3770.142,,,2019-07-25 10:56:09,2019-07-25 10:56:09,0.061s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 75.0.3770.142,,,2019-07-25 10:56:09,2019-07-25 10:56:09,0.002s,PASSED
closeBrowser(),Chrome 75.0.3770.142,,,2019-07-25 10:56:09,2019-07-25 10:56:10,0.860s,PASSED
,,,,,,,
Test Cases/covestro,Chrome 75.0.3770.142,,,2019-07-25 10:56:10,2019-07-25 10:56:40,29.990s,PASSED
"openBrowser("""")",Chrome 75.0.3770.142,,,2019-07-25 10:56:10,2019-07-25 10:56:13,2.648s,PASSED
"navigateToUrl(""https://covestro.acomodeo.com"")",Chrome 75.0.3770.142,,,2019-07-25 10:56:13,2019-07-25 10:56:16,3.032s,PASSED
delay(11),Chrome 75.0.3770.142,,,2019-07-25 10:56:16,2019-07-25 10:56:27,11.003s,PASSED
"setText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_email""), username)",Chrome 75.0.3770.142,,,2019-07-25 10:56:27,2019-07-25 10:56:27,0.332s,PASSED
delay(3),Chrome 75.0.3770.142,,,2019-07-25 10:56:27,2019-07-25 10:56:30,3.002s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Account Login IBE/input_Register_password""), password)",Chrome 75.0.3770.142,,,2019-07-25 10:56:30,2019-07-25 10:56:31,0.359s,PASSED
