Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,,,,2019-07-25 11:09:14,2019-07-25 11:09:19,5.293s,INCOMPLETE
,,,,,,,
Test Cases/audi,,,,2019-07-25 11:09:14,2019-07-25 11:09:16,1.214s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:15,2019-07-25 11:09:16,0.617s,FAILED
,,,,,,,
Test Cases/baldaja,,,,2019-07-25 11:09:16,2019-07-25 11:09:16,0.318s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:16,2019-07-25 11:09:16,0.015s,FAILED
,,,,,,,
Test Cases/barmer,,,,2019-07-25 11:09:16,2019-07-25 11:09:16,0.260s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:16,2019-07-25 11:09:16,0.009s,FAILED
,,,,,,,
Test Cases/bearingpoint,,,,2019-07-25 11:09:16,2019-07-25 11:09:16,0.263s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:16,2019-07-25 11:09:16,0.014s,FAILED
,,,,,,,
Test Cases/commerzbank,,,,2019-07-25 11:09:16,2019-07-25 11:09:17,0.273s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:17,2019-07-25 11:09:17,0.015s,FAILED
,,,,,,,
Test Cases/covestro,,,,2019-07-25 11:09:17,2019-07-25 11:09:17,0.312s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:17,2019-07-25 11:09:17,0.008s,FAILED
,,,,,,,
Test Cases/freshfields,,,,2019-07-25 11:09:17,2019-07-25 11:09:17,0.276s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:17,2019-07-25 11:09:17,0.009s,FAILED
,,,,,,,
Test Cases/goomo,,,,2019-07-25 11:09:17,2019-07-25 11:09:18,0.260s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:18,2019-07-25 11:09:18,0.013s,FAILED
,,,,,,,
Test Cases/ibe,,,,2019-07-25 11:09:18,2019-07-25 11:09:18,0.344s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:18,2019-07-25 11:09:18,0.006s,FAILED
,,,,,,,
Test Cases/microfuzzy,,,,2019-07-25 11:09:18,2019-07-25 11:09:18,0.251s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:18,2019-07-25 11:09:18,0.007s,FAILED
,,,,,,,
Test Cases/roche,,,,2019-07-25 11:09:18,2019-07-25 11:09:19,0.264s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.028s,FAILED
,,,,,,,
Test Cases/roomit,,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.230s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.005s,FAILED
,,,,,,,
Test Cases/tmdfriction,,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.253s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.010s,FAILED
,,,,,,,
Test Cases/zeb,,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.243s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:19,2019-07-25 11:09:19,0.008s,FAILED
