Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:11:25,2020-01-12 13:11:25,0.210s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:11:25,2020-01-12 13:11:28,3.004s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:11:28,2020-01-12 13:11:28,0.508s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:11:28,2020-01-12 13:11:29,0.762s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:11:29,2020-01-12 13:11:32,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:11:32,2020-01-12 13:11:32,0.165s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:11:32,2020-01-12 13:11:40,8.004s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:11:40,2020-01-12 13:11:40,0.139s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:11:40,2020-01-12 13:11:43,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:11:43,2020-01-12 13:11:44,0.136s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:11:44,2020-01-12 13:11:44,0.110s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:11:44,2020-01-12 13:11:44,0.001s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:11:44,2020-01-12 13:11:44,0.078s,PASSED
,,,,,,,
Test Cases/bearingpoint,Chrome 77.0.3865.90,,,2020-01-12 13:11:44,2020-01-12 13:12:15,31.098s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:11:44,2020-01-12 13:11:44,0.368s,PASSED
"navigateToUrl(""https://bearingpoint.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:11:44,2020-01-12 13:11:46,1.602s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:11:46,2020-01-12 13:11:56,10.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:11:56,2020-01-12 13:11:56,0.241s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:11:56,2020-01-12 13:11:59,3.003s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:11:59,2020-01-12 13:12:00,0.462s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:12:00,2020-01-12 13:12:00,0.748s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:12:00,2020-01-12 13:12:03,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:03,2020-01-12 13:12:04,0.136s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:12:04,2020-01-12 13:12:12,8.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:12,2020-01-12 13:12:12,0.104s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:12:12,2020-01-12 13:12:15,3.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:15,0.116s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:15,0.105s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:15,0.001s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:15,0.074s,PASSED
,,,,,,,
Test Cases/commerzbank,Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:43,28.013s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:15,0.409s,PASSED
"navigateToUrl(""https://commerzbank.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:12:15,2020-01-12 13:12:17,1.467s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:12:17,2020-01-12 13:12:27,10.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:27,2020-01-12 13:12:27,0.227s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:12:27,2020-01-12 13:12:30,3.004s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:12:30,2020-01-12 13:12:31,0.460s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:12:31,2020-01-12 13:12:31,0.727s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:31,2020-01-12 13:12:31,0.099s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:12:31,2020-01-12 13:12:39,8.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Profile""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:39,2020-01-12 13:12:40,0.130s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:12:40,2020-01-12 13:12:43,3.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:12:43,0.225s,PASSED
"hello = getText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/h4_Hello Katalon Acomodeo""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:12:43,0.070s,PASSED
"verifyEqual(""Hello, Katalon Acomodeo"", hello)",Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:12:43,0.002s,PASSED
closeBrowser(),Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:12:43,0.091s,PASSED
,,,,,,,
Test Cases/covestro,Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:13:16,32.946s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:12:43,0.378s,PASSED
"navigateToUrl(""https://covestro.acomodeo.com/en/"")",Chrome 77.0.3865.90,,,2020-01-12 13:12:43,2020-01-12 13:12:45,1.434s,PASSED
delay(10),Chrome 77.0.3865.90,,,2020-01-12 13:12:45,2020-01-12 13:12:55,10.002s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/button_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:12:55,2020-01-12 13:12:55,0.201s,PASSED
delay(3),Chrome 77.0.3865.90,,,2020-01-12 13:12:55,2020-01-12 13:12:58,3.003s,PASSED
"setText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_email""), username)",Chrome 77.0.3865.90,,,2020-01-12 13:12:58,2020-01-12 13:12:58,0.435s,PASSED
"setEncryptedText(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/input_Register_password""), password)",Chrome 77.0.3865.90,,,2020-01-12 13:12:58,2020-01-12 13:12:59,0.745s,PASSED
delay(5),Chrome 77.0.3865.90,,,2020-01-12 13:12:59,2020-01-12 13:13:04,5.003s,PASSED
"click(findTestObject(""Object Repository/katalonIBE/Page_Home  Audi Long Stay/span_Log in""))",Chrome 77.0.3865.90,,,2020-01-12 13:13:04,2020-01-12 13:13:04,0.151s,PASSED
delay(8),Chrome 77.0.3865.90,,,2020-01-12 13:13:04,2020-01-12 13:13:12,8.004s,PASSED
