Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestEveryIBE,,,,2019-07-25 11:09:24,2019-07-25 11:10:12,47.941s,INCOMPLETE
,,,,,,,
Test Cases/audi,,,,2019-07-25 11:09:25,2019-07-25 11:09:42,17.519s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:25,2019-07-25 11:09:42,16.930s,FAILED
,,,,,,,
Test Cases/baldaja,,,,2019-07-25 11:09:42,2019-07-25 11:09:44,2.357s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:42,2019-07-25 11:09:44,2.040s,FAILED
,,,,,,,
Test Cases/barmer,,,,2019-07-25 11:09:44,2019-07-25 11:09:47,2.333s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:45,2019-07-25 11:09:47,2.052s,FAILED
,,,,,,,
Test Cases/bearingpoing,,,,2019-07-25 11:09:47,2019-07-25 11:09:49,2.306s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:47,2019-07-25 11:09:49,2.043s,FAILED
,,,,,,,
Test Cases/commerbank,,,,2019-07-25 11:09:49,2019-07-25 11:09:51,2.335s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:49,2019-07-25 11:09:51,2.059s,FAILED
,,,,,,,
Test Cases/covestro,,,,2019-07-25 11:09:51,2019-07-25 11:09:54,2.333s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:52,2019-07-25 11:09:54,2.046s,FAILED
,,,,,,,
Test Cases/freshfields,,,,2019-07-25 11:09:54,2019-07-25 11:09:56,2.311s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:54,2019-07-25 11:09:56,2.021s,FAILED
,,,,,,,
Test Cases/goomo,,,,2019-07-25 11:09:56,2019-07-25 11:09:58,2.298s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:56,2019-07-25 11:09:58,2.040s,FAILED
,,,,,,,
Test Cases/ibe,,,,2019-07-25 11:09:58,2019-07-25 11:10:01,2.315s,FAILED
"openBrowser("""")",,,,2019-07-25 11:09:59,2019-07-25 11:10:01,2.028s,FAILED
,,,,,,,
Test Cases/microfuzzy,,,,2019-07-25 11:10:01,2019-07-25 11:10:03,2.298s,FAILED
"openBrowser("""")",,,,2019-07-25 11:10:01,2019-07-25 11:10:03,2.042s,FAILED
,,,,,,,
Test Cases/roche,,,,2019-07-25 11:10:03,2019-07-25 11:10:05,2.294s,FAILED
"openBrowser("""")",,,,2019-07-25 11:10:03,2019-07-25 11:10:05,2.043s,FAILED
,,,,,,,
Test Cases/roomit,,,,2019-07-25 11:10:05,2019-07-25 11:10:08,2.289s,FAILED
"openBrowser("""")",,,,2019-07-25 11:10:06,2019-07-25 11:10:08,2.039s,FAILED
,,,,,,,
Test Cases/tmdfirction,,,,2019-07-25 11:10:08,2019-07-25 11:10:10,2.311s,FAILED
"openBrowser("""")",,,,2019-07-25 11:10:08,2019-07-25 11:10:10,2.038s,FAILED
,,,,,,,
Test Cases/zeb,,,,2019-07-25 11:10:10,2019-07-25 11:10:12,2.295s,FAILED
"openBrowser("""")",,,,2019-07-25 11:10:10,2019-07-25 11:10:12,2.027s,FAILED
